Project Name,Owner,Developer,Address,Zip Code,Council District,Kirwan Opportunity Index,Distance to Bus Stop,Total Units,Total Affordable Units,Unit Type,Program,Housing Type,Status,Affordability Start Date,Affordability Period,Affordability Expiration Date,Certification Date,C of O Date,Required Amount of Fee in Lieu,Date Fee in Lieu Received,Units <= 30% MFI,Units <= 40% MFI,Units <= 50% MFI,Units <= 60% MFI,Units <= 65% MFI,Units <= 80% MFI,Units <= 100% MFI,Market Rate Units,City Funded Amount, of Funds Leveraged,CLT,DDB,RNY,MDA,NBG,PUDDA,SMART,TOD,UNO,VMU,Location
Devonshire Village,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78723,1,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,9/25/2013 0:00,10,9/25/2023 0:00,,,,,0,0,0,0,0,1,0,0,0,0,No,No,No,No,No,No,Yes,No,No,No,"(30.312094660116301, -97.681496484287806)"
Devonshire Village,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78723,1,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,12/29/2009 0:00,10,12/29/2019 0:00,,,,,0,0,0,0,0,1,0,0,0,0,No,No,No,No,No,No,Yes,No,No,No,"(30.3102970703575, -97.6811710988421)"
Devonshire Village,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78723,1,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,7/17/2009 0:00,10,7/17/2019 0:00,,,,,0,0,0,0,0,1,0,0,0,0,No,No,No,No,No,No,Yes,No,No,No,"(30.310384396482199, -97.681006333465703)"
Devonshire Village,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78723,1,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,6/30/2009 0:00,10,6/30/2019 0:00,,,,,0,0,0,0,0,1,0,0,0,0,No,No,No,No,No,No,Yes,No,No,No,"(30.3103249697404, -97.681365696533305)"
Devonshire Village,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78723,1,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,9/30/2009 0:00,10,9/30/2019 0:00,,,,,0,0,0,0,0,1,0,0,0,0,No,No,No,No,No,No,Yes,No,No,No,"(30.310573681700799, -97.680924100686696)"
Devonshire Village,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78723,1,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,9/30/2009 0:00,10,9/30/2019 0:00,,,,,0,0,0,0,0,1,0,0,0,0,No,No,No,No,No,No,Yes,No,No,No,"(30.310739929073399, -97.680996561433801)"
Devonshire Village,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78723,1,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,3/31/2009 0:00,10,3/31/2019 0:00,,,,,0,0,0,0,0,1,0,0,0,0,No,No,No,No,No,No,Yes,No,No,No,"(30.310471485434999, -97.681524035472606)"
Devonshire Village,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78723,1,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,3/27/2013 0:00,10,3/27/2023 0:00,,,,,0,0,0,0,0,1,0,0,0,0,No,No,No,No,No,No,Yes,No,No,No,"(30.3108544146334, -97.681106265818798)"
Devonshire Village,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78723,1,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,4/27/2010 0:00,10,4/27/2020 0:00,,,,,0,0,0,0,0,1,0,0,0,0,No,No,No,No,No,No,Yes,No,No,No,"(30.310706806936501, -97.681589114997905)"
Devonshire Village,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78723,1,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,7/17/2009 0:00,10,7/17/2019 0:00,,,,,0,0,0,0,0,1,0,0,0,0,No,No,No,No,No,No,Yes,No,No,No,"(30.310986951751801, -97.681165895867295)"
Devonshire Village,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78723,1,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,6/17/2009 0:00,10,6/17/2019 0:00,,,,,0,0,0,0,0,1,0,0,0,0,No,No,No,No,No,No,Yes,No,No,No,"(30.3108280102858, -97.681676572423399)"
Devonshire Village,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78723,1,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,7/17/2009 0:00,10,7/17/2019 0:00,,,,,0,0,0,0,0,1,0,0,0,0,No,No,No,No,No,No,Yes,No,No,No,"(30.311105806962299, -97.681227582195802)"
Devonshire Village,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78723,1,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,6/4/2010 0:00,10,6/4/2020 0:00,,,,,0,0,0,0,0,1,0,0,0,0,No,No,No,No,No,No,Yes,No,No,No,"(30.310971339989401, -97.681680907548298)"
Meadow Lake Subdivision,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78744,2,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,11/19/2009 0:00,15,11/19/2024 0:00,,,,,0,0,0,0,0,1,0,0,154580,32.45,No,No,No,No,No,No,Yes,No,No,No,"(30.1789336236391, -97.760431567375505)"
Meadow Lake Subdivision,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78744,2,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,2/24/2010 0:00,15,2/25/2025 0:00,,,,,0,0,0,0,0,1,0,0,0,0,No,No,No,No,No,No,Yes,No,No,No,"(30.179128955907501, -97.760320983548297)"
Meadow Lake Subdivision,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78744,2,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,3/17/2009 0:00,15,3/17/2024 0:00,,,,,0,0,0,0,0,1,0,0,234580,32.85,No,No,No,No,No,No,Yes,No,No,No,"(30.1788256013023, -97.760013356602798)"
Meadow Lake Subdivision,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78744,2,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,3/17/2009 0:00,15,3/17/2024 0:00,,,,,0,0,0,0,0,1,0,0,0,0,No,No,No,No,No,No,Yes,No,No,No,"(30.178930519282499, -97.759918633703194)"
Meadow Lake Subdivision,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78744,2,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,3/17/2009 0:00,15,3/17/2024 0:00,,,,,0,0,0,0,0,1,0,0,0,0,No,No,No,No,No,No,Yes,No,No,No,"(30.178796454493401, -97.759600516691606)"
Meadow Lake Subdivision,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78744,2,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,10/19/2009 0:00,10,10/19/2019 0:00,,,,,0,0,0,0,0,1,0,0,452495,429.79,No,No,No,No,No,No,Yes,No,No,No,"(30.178194393024398, -97.758129461678706)"
Meadow Lake Subdivision,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78744,2,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,10/19/2009 0:00,10,10/19/2019 0:00,,,,,0,0,0,0,0,1,0,0,0,0,No,No,No,No,No,No,Yes,No,No,No,"(30.177806548055901, -97.758330649202193)"
Meadow Lake Subdivision,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78744,2,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,10/19/2009 0:00,10,10/19/2019 0:00,,,,,0,0,0,0,0,1,0,0,0,0,No,No,No,No,No,No,Yes,No,No,No,"(30.1782445609254, -97.758225276176503)"
Meadow Lake Subdivision,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78744,2,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,10/19/2009 0:00,10,10/19/2019 0:00,,,,,0,0,0,0,0,1,0,0,0,0,No,No,No,No,No,No,Yes,No,No,No,"(30.1778512264688, -97.758454371660505)"
Meadow Lake Subdivision,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78744,2,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,10/19/2009 0:00,10,10/19/2019 0:00,,,,,0,0,0,0,0,1,0,0,0,0,No,No,No,No,No,No,Yes,No,No,No,"(30.178286243207499, -97.758349078989099)"
Meadow Lake Subdivision,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78744,2,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,10/19/2009 0:00,10,10/19/2019 0:00,,,,,0,0,0,0,0,1,0,0,0,0,No,No,No,No,No,No,Yes,No,No,No,"(30.177916736487099, -97.7585636423496)"
Meadow Lake Subdivision,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78744,2,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,10/19/2009 0:00,10,10/19/2019 0:00,,,,,0,0,0,0,0,1,0,0,0,0,No,No,No,No,No,No,Yes,No,No,No,"(30.178348869598999, -97.7584653912091)"
Meadow Lake Subdivision,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78744,2,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,10/19/2009 0:00,10,10/19/2019 0:00,,,,,0,0,0,0,0,1,0,0,0,0,No,No,No,No,No,No,Yes,No,No,No,"(30.177961232812599, -97.758676955195796)"
Meadow Lake Subdivision,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78744,2,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,10/19/2009 0:00,10,10/19/2019 0:00,,,,,0,0,0,0,0,1,0,0,0,0,No,No,No,No,No,No,Yes,No,No,No,"(30.1783988552937, -97.758579507927394)"
Meadow Lake Subdivision,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78744,2,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,10/19/2009 0:00,10,10/19/2019 0:00,,,,,0,0,0,0,0,1,0,0,0,0,No,No,No,No,No,No,Yes,No,No,No,"(30.178016110743801, -97.758775873123398)"
Meadow Lake Subdivision,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78744,2,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,10/19/2009 0:00,10,10/19/2019 0:00,,,,,0,0,0,0,0,1,0,0,0,0,No,No,No,No,No,No,Yes,No,No,No,"(30.1784426840089, -97.758722532274206)"
Meadow Lake Subdivision,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78744,2,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,10/19/2009 0:00,10,10/19/2019 0:00,,,,,0,0,0,0,0,1,0,0,0,0,No,No,No,No,No,No,Yes,No,No,No,"(30.178062787729701, -97.758912838182098)"
Meadow Lake Subdivision,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78744,2,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,10/19/2009 0:00,10,10/19/2019 0:00,,,,,0,0,0,0,0,1,0,0,0,0,No,No,No,No,No,No,Yes,No,No,No,"(30.178495604242102, -97.758837615688506)"
Meadow Lake Subdivision,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78744,2,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,10/19/2009 0:00,10,10/19/2019 0:00,,,,,0,0,0,0,0,1,0,0,0,0,No,No,No,No,No,No,Yes,No,No,No,"(30.178555837040399, -97.7589580125249)"
Meadow Lake Subdivision,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78744,2,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,10/19/2009 0:00,10,10/19/2019 0:00,,,,,0,0,0,0,0,1,0,0,0,0,No,No,No,No,No,No,Yes,No,No,No,"(30.178166523680801, -97.759119065465597)"
Meadow Lake Subdivision,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78744,2,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,10/19/2009 0:00,10,10/19/2019 0:00,,,,,0,0,0,0,0,1,0,0,0,0,No,No,No,No,No,No,Yes,No,No,No,"(30.178599553994299, -97.759095500468106)"
Meadow Lake Subdivision,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78744,2,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,10/19/2009 0:00,10,10/19/2019 0:00,,,,,0,0,0,0,0,1,0,0,0,0,No,No,No,No,No,No,Yes,No,No,No,"(30.178198169951099, -97.759236203280494)"
Meadow Lake Subdivision,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78744,2,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,10/19/2009 0:00,10,10/19/2019 0:00,,,,,0,0,0,0,0,1,0,0,0,0,No,No,No,No,No,No,Yes,No,No,No,"(30.178256217430199, -97.759355993424904)"
Meadow Lake Subdivision,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78744,2,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,10/20/2009 0:00,11,10/20/2019 0:00,,,,,0,0,0,0,0,1,0,0,0,0,No,No,No,No,No,No,Yes,No,No,No,"(30.178355314590299, -97.759590075582807)"
Meadow Lake Subdivision,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78744,2,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,10/19/2009 0:00,10,10/19/2019 0:00,,,,,0,0,0,0,0,1,0,0,0,0,No,No,No,No,No,No,Yes,No,No,No,"(30.178308003280701, -97.759455722469198)"
Meadow Lake Subdivision,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78744,2,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,10/19/2009 0:00,10,10/19/2019 0:00,,,,,0,0,0,0,0,1,0,0,0,0,No,No,No,No,No,No,Yes,No,No,No,"(30.178384599455601, -97.759727947882496)"
Meadow Lake Subdivision,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78744,2,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,10/19/2009 0:00,10,10/19/2019 0:00,,,,,0,0,0,0,0,1,0,0,0,0,No,No,No,No,No,No,Yes,No,No,No,"(30.178413605589199, -97.759851962452004)"
Meadow Lake Subdivision,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78744,2,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,10/19/2009 0:00,10,10/19/2019 0:00,,,,,0,0,0,0,0,1,0,0,0,0,No,No,No,No,No,No,Yes,No,No,No,"(30.178430544831201, -97.759976330098695)"
Meadow Lake Subdivision,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78744,2,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,10/19/2009 0:00,10,10/19/2019 0:00,,,,,0,0,0,0,0,1,0,0,0,0,No,No,No,No,No,No,Yes,No,No,No,"(30.178452321275, -97.760100537317996)"
Meadow Lake Subdivision,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78744,2,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,10/19/2009 0:00,10,10/19/2019 0:00,,,,,0,0,0,0,0,1,0,0,0,0,No,No,No,No,No,No,Yes,No,No,No,"(30.178461946388101, -97.760219528393307)"
Austin Neighborhood Alliance for Habitat - SF,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78721,1,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,3/22/2013 0:00,10,3/22/2023 0:00,,,,,0,0,0,0,0,1,0,0,62500,0,No,No,No,No,No,No,Yes,No,No,No,"(30.274318855732801, -97.687691015864203)"
Austin Neighborhood Alliance for Habitat - SF,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78721,1,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,3/22/2013 0:00,10,3/22/2023 0:00,,,,,0,0,0,0,0,1,0,0,0,0,No,No,No,No,No,No,Yes,No,No,No,"(30.2742940946262, -97.687592149535604)"
Frameworks Community Development Corporation - SF,Undisclosed,Frameworks Community Development Corporation,Undisclosed,78744,2,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,7/29/2014 0:00,,,,,,,0,0,0,0,0,1,0,0,525000,0,No,No,No,No,No,No,No,No,No,No,"(30.194889667835401, -97.755044263629003)"
Frameworks Community Development Corporation - SF,Undisclosed,Frameworks Community Development Corporation,Undisclosed,78744,2,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,12/15/2014 0:00,,,,,,,0,0,0,0,0,1,0,0,0,0,No,No,No,No,No,No,No,No,No,No,"(30.188332959875101, -97.753681386779405)"
Frameworks Community Development Corporation - SF,Undisclosed,Frameworks Community Development Corporation,Undisclosed,78617,2,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,9/12/2013 0:00,,,,,,,0,0,0,0,0,1,0,0,0,0,No,No,No,No,No,No,No,No,No,No,"(30.1727726966006, -97.611785211783896)"
Austin Revitalization Authority - SF,Undisclosed,Austin Revitalization Authority,Undisclosed,78702,1,Low,1/4 Mile,1,1,Single Family,A&D,Ownership,Affordability Period Expired,3/10/2010 0:00,1,3/10/2011 0:00,,,,,0,0,0,0,0,1,0,0,120000,0,No,No,No,No,No,No,Yes,No,No,No,"(30.270221008109001, -97.729332839638005)"
Ivy Condos - Acq of 10 Units (2/5/13),"ESCT Austin Housing III, Inc.",Easter Seals of Central Texas,3204 Manchaca Road,78704,5,High,1/4 Mile,10,10,Multifamily,RHDA,Rental,Project Complete / Final C.of O. Received,2/15/2013 0:00,99,2/15/2012 0:00,,,,,0,0,10,0,0,0,0,0,705307,149.83,No,No,No,No,No,No,No,No,No,No,"(30.240275740263598, -97.782668760111804)"
Sheldon 230,KB Homes (a.k.a. KB Sheldon),KB Homes,8101 Salt Springs Drive,78744,2,Very Low,1/4 Mile,910,364,Single Family,Developer Incentive,Ownership,Affordability Period Expired,,1,,6/5/2003,,,,0,0,0,0,0,364,0,546,0,0,No,No,No,No,No,No,Yes,No,No,No,"(30.158749199192801, -97.745490155016398)"
Baker Steet Subdivision,Flex Realty,Flex Realty,5007 Baker Street,78721,1,Very Low,1/4 Mile,34,34,Single Family,Developer Incentive,Ownership,Project Cancelled,,1,,3/26/2004,,,,0,0,0,0,0,34,0,0,0,0,No,No,No,No,No,No,Yes,No,No,No,"(30.282637226416298, -97.678351732896104)"
Linden Lots,Austin Housing Finance Corporation,Austin Housing Finance Corporation,Undisclosed,78702,3,Very Low,1/4 Mile,1,1,Single Family,Developer Incentive,Ownership,Project Complete / Final C.of O. Received,6/28/2016 0:00,1,6/28/2017 0:00,2/25/2008,6/28/2016,,,0,0,0,0,0,1,0,0,0,0,Yes,No,No,No,No,No,Yes,No,No,No,"(30.265135724613199, -97.705255535964199)"
Villita Avenida 4-Home NC,Undisclosed,American Youthworks,6914 Villita Avenida,78741,3,Very Low,1/4 Mile,4,4,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,2/11/2015 0:00,1,2/11/2016 0:00,,,,,0,0,0,0,0,4,0,0,102500,0,No,No,No,No,No,No,Yes,No,No,No,"(30.230401264492802, -97.690387859024)"
Thornbury Subdivion,KB Homes,KB Homes,,78754,1,Very Low,1/4 Mile,485,194,Single Family,Developer Incentive,Ownership,Project Certified / Loan Executed,,1,12/31/1999 0:00,7/7/2010,,,,0,0,0,0,0,194,0,291,0,0,No,No,No,No,No,No,Yes,No,No,No,"(30.3442658303276, -97.613909301900605)"
St. James Apartments,Burlington Ventures Inc.,Burlington Ventures,5514 Roosevelt Avenue,78756,7,Very Low,1/4 Mile,9,2,Multifamily,Developer Incentive,Rental,Project Complete / Final C.of O. Received,2/15/2014 0:00,5,2/15/2019 0:00,2/16/2012,2/15/2014,,,0,0,0,0,0,2,0,7,0,0,No,No,No,No,No,No,Yes,No,No,No,"(30.326938382395198, -97.732969950094699)"
Gaston Place,Accessible Housing Austin!,Accessible Housing Austin!,1920 Gaston Place Drive,78723,1,Very Low,1/4 Mile,27,27,Multifamily,RHDA,Rental,Project Certified / Loan Executed,,99,,5/21/2015,,,,0,0,27,0,0,0,0,0,2192000,196.14,No,No,No,No,No,No,Yes,No,No,No,"(30.313462024771301, -97.689690373649199)"
Monarch at Lakeline Station,Mgroup Holdings,Mgroup,9821 N Lake Creek Parkway,78717,6,High,1/4 Mile,141,141,Multifamily,Developer Incentive,Rental,Project Certified / Loan Executed,,5,,1/23/2015,,,,14,0,56,71,0,0,0,0,0,0,No,No,No,No,No,No,Yes,No,No,No,"(30.469745802441, -97.789239676320094)"
2201 SL Davis Avenue,"Jim Rath, Owner","Jim Rath, Owner",2201 S L Davis Avenue,78702,1,Very Low,1/4 Mile,2,2,Single Family,Developer Incentive,Rental,Project Complete / Final C.of O. Received,11/5/2013 0:00,5,11/5/2018 0:00,5/4/2012,11/5/2013,,,0,0,1,0,0,1,0,0,0,0,No,No,No,No,No,No,Yes,No,No,No,"(30.270890000000001, -97.716105999999996)"
7th Street TOD,Guadalupe Neighborhood Development Corporation,Guadalupe Neighborhood Development Corporation,906 E 7th Street,78702,1,Very Low,1/4 Mile,6,6,Multifamily,Developer Incentive,Rental,Project Certified / Loan Executed,,5,,10/4/2010,,,,0,0,0,6,0,0,0,0,0,0,No,No,No,No,No,No,Yes,No,No,No,"(30.266504764865498, -97.732626243238997)"
Streetman Homes (RMMA Section 6),Streetman Homes,Streetman Homes,2445 Robert Browning Street,78723,9,Very Low,1/4 Mile,95,24,Single Family,Developer Incentive,Ownership,Project Complete / Final C.of O. Received,2/13/2013 0:00,1,2/13/2014 0:00,7/15/2012,2/13/2013,,,0,0,0,0,0,24,0,71,0,0,No,No,No,Yes,No,No,Yes,No,No,No,"(30.298408045347301, -97.697879355672697)"
David Weekly Homes (RMMA Section 6),David Weekly Homes,David Weekly Homes,1830 McBee Street,78723,9,Moderate,1/4 Mile,73,18,Single Family,Developer Incentive,Ownership,Project Complete / Final C.of O. Received,3/5/2014 0:00,1,3/5/2015 0:00,7/6/2012,3/5/2014,,,0,0,0,0,0,18,0,55,0,0,No,No,No,Yes,No,No,Yes,No,No,No,"(30.298209159868701, -97.704181428756897)"
Lakeside Engineering - SF,Lakeside Engineering,Lakeside Engineering,1123 Walton Lane,78721,3,Very Low,1/4 Mile,8,3,Multifamily,Developer Incentive,Rental,Project Certified / Loan Executed,4/17/2015 0:00,5,4/17/2020 0:00,4/7/2016,,,,0,0,0,0,0,3,0,5,0,0,No,No,No,No,No,No,Yes,No,No,No,"(30.259263550673602, -97.687313047141302)"
The Point at Ben White,Ben White Senior Development LP,Ben White Senior Development LP,6934 E Ben White Boulevard,78741,3,Very Low,1/2 Mile,250,250,Multifamily,Developer Incentive,Rental,Project Complete / Final C.of O. Received,2/26/2016 0:00,5,2/26/2021 0:00,9/21/2012,2/26/2016,,,0,0,0,0,0,250,0,0,0,0,No,No,No,No,No,No,Yes,No,No,No,"(30.216318028295799, -97.703583009755704)"
Villages at Ben White,Ben White Senior Development LP,Ben White Senior Development LP,7016 E Ben White Boulevard,78741,3,Low,1/4 Mile,183,183,Multifamily,Developer Incentive,Rental,Project Certified / Loan Executed,,5,,9/21/2012,,,,0,0,0,183,0,0,0,0,0,0,No,No,No,No,No,No,Yes,No,No,No,"(30.2158612511363, -97.701173845317001)"
Parmer Place Apartments,"Pedcor Investments 2012-CXXX, LP","Pedcor Investments 2012-CXXX, LP",1500 Parmer Lane,78727,7,Very Low,1/4 Mile,332,332,Multifamily,Developer Incentive,Rental,Project Complete / Final C.of O. Received,10/6/2016 0:00,5,10/6/2021 0:00,7/17/2013,10/6/2016,,,0,0,0,332,0,0,0,0,0,0,No,No,No,No,No,No,Yes,No,No,No,"(30.3904719905596, -97.651732367058599)"
